Results K-fold
670) accuracy: 60.71
671) accuracy: 89.29
672) accuracy: 85.71
673) accuracy: 78.57
674) accuracy: 78.57
675) accuracy: 82.14
676) accuracy: 71.43
677) accuracy: 82.14
678) accuracy: 82.14
679) accuracy: 71.43
680) accuracy: 82.14
681) accuracy: 60.71
682) accuracy: 82.14
683) accuracy: 75.0
684) accuracy: 75.0
685) accuracy: 50.0
686) accuracy: 82.14
687) accuracy: 71.43
688) accuracy: 64.29
689) accuracy: 85.71
690) accuracy: 71.43
691) accuracy: 71.43
692) accuracy: 82.14
693) accuracy: 78.57
694) accuracy: 78.57
695) accuracy: 89.29
696) accuracy: 85.71
697) accuracy: 67.86
698) accuracy: 75.0
699) accuracy: 82.14
700) accuracy: 85.71
701) accuracy: 75.0
702) accuracy: 75.0
703) accuracy: 71.43
704) accuracy: 78.57
705) accuracy: 75.0
706) accuracy: 75.0
707) accuracy: 64.29
708) accuracy: 67.86
709) accuracy: 82.14
710) accuracy: 82.14
711) accuracy: 64.29
712) accuracy: 71.43
713) accuracy: 75.0
714) accuracy: 75.0
715) accuracy: 82.14
716) accuracy: 75.0
717) accuracy: 67.86
718) accuracy: 82.14
719) accuracy: 82.14
720) accuracy: 71.43
721) accuracy: 85.71
722) accuracy: 71.43
723) accuracy: 78.57
724) accuracy: 67.86
725) accuracy: 75.0
726) accuracy: 78.57
727) accuracy: 78.57
728) accuracy: 64.29
729) accuracy: 78.57
730) accuracy: 75.0
731) accuracy: 67.86
732) accuracy: 78.57
733) accuracy: 78.57
734) accuracy: 78.57
735) accuracy: 85.71
736) accuracy: 64.29
737) accuracy: 78.57
738) accuracy: 82.14
739) accuracy: 78.57
740) accuracy: 67.86
741) accuracy: 64.29
742) accuracy: 75.0
743) accuracy: 75.0
744) accuracy: 75.0
745) accuracy: 71.43
746) accuracy: 71.43
747) accuracy: 67.86
748) accuracy: 64.29
749) accuracy: 82.14
750) accuracy: 71.43
751) accuracy: 64.29
752) accuracy: 75.0
753) accuracy: 71.43
754) accuracy: 67.86
755) accuracy: 82.14
756) accuracy: 75.0
757) accuracy: 85.71
758) accuracy: 67.86
759) accuracy: 85.71
760) accuracy: 75.0
761) accuracy: 67.86
762) accuracy: 85.71
763) accuracy: 89.29
764) accuracy: 75.0
765) accuracy: 75.0
766) accuracy: 75.0
767) accuracy: 75.0
768) accuracy: 71.43
769) accuracy: 89.29
770) accuracy: 67.86
771) accuracy: 71.43
772) accuracy: 82.14
773) accuracy: 78.57
774) accuracy: 82.14
775) accuracy: 78.57
776) accuracy: 78.57
777) accuracy: 71.43
778) accuracy: 75.0
779) accuracy: 82.14
780) accuracy: 82.14
781) accuracy: 78.57
782) accuracy: 75.0
783) accuracy: 78.57
784) accuracy: 89.29
785) accuracy: 78.57
786) accuracy: 78.57
787) accuracy: 71.43
788) accuracy: 89.29
789) accuracy: 71.43
790) accuracy: 64.29
791) accuracy: 71.43
792) accuracy: 67.86
793) accuracy: 82.14
794) accuracy: 85.71
795) accuracy: 82.14
796) accuracy: 67.86
797) accuracy: 71.43
798) accuracy: 78.57
799) accuracy: 64.29
800) accuracy: 78.57
801) accuracy: 78.57
802) accuracy: 71.43
803) accuracy: 71.43
804) accuracy: 82.14
805) accuracy: 75.0
806) accuracy: 82.14
807) accuracy: 78.57
808) accuracy: 71.43
809) accuracy: 75.0
810) accuracy: 78.57
811) accuracy: 71.43
812) accuracy: 75.0
813) accuracy: 71.43
814) accuracy: 67.86
815) accuracy: 82.14
816) accuracy: 67.86
817) accuracy: 71.43
818) accuracy: 71.43
819) accuracy: 78.57
820) accuracy: 85.71
821) accuracy: 75.0
822) accuracy: 92.86
823) accuracy: 82.14
824) accuracy: 82.14
825) accuracy: 82.14
826) accuracy: 78.57
827) accuracy: 71.43
828) accuracy: 75.0
829) accuracy: 71.43
830) accuracy: 75.0
831) accuracy: 75.0
832) accuracy: 71.43
833) accuracy: 78.57
834) accuracy: 82.14
835) accuracy: 82.14
836) accuracy: 75.0
837) accuracy: 75.0
838) accuracy: 85.71
839) accuracy: 85.71
840) accuracy: 75.0
841) accuracy: 75.0
842) accuracy: 71.43
843) accuracy: 89.29
844) accuracy: 75.0
845) accuracy: 71.43
846) accuracy: 78.57
847) accuracy: 67.86
848) accuracy: 78.57
849) accuracy: 71.43
850) accuracy: 71.43
851) accuracy: 85.71
852) accuracy: 89.29
853) accuracy: 78.57
854) accuracy: 71.43
855) accuracy: 82.14
856) accuracy: 82.14
857) accuracy: 78.57
858) accuracy: 67.86
859) accuracy: 75.0
860) accuracy: 64.29
861) accuracy: 75.0
862) accuracy: 67.86
863) accuracy: 82.14
864) accuracy: 75.0
865) accuracy: 82.14
866) accuracy: 71.43
867) accuracy: 71.43
868) accuracy: 71.43
869) accuracy: 71.43
870) accuracy: 78.57
871) accuracy: 82.14
872) accuracy: 71.43
873) accuracy: 75.0
874) accuracy: 78.57
875) accuracy: 75.0
876) accuracy: 85.71
877) accuracy: 82.14
878) accuracy: 67.86
879) accuracy: 89.29
880) accuracy: 78.57
881) accuracy: 75.0
882) accuracy: 71.43
883) accuracy: 75.0
884) accuracy: 85.71
885) accuracy: 78.57
886) accuracy: 67.86
887) accuracy: 67.86
888) accuracy: 82.14
889) accuracy: 71.43
890) accuracy: 78.57
891) accuracy: 64.29
892) accuracy: 85.71
893) accuracy: 78.57
894) accuracy: 85.71
895) accuracy: 82.14
896) accuracy: 75.0
897) accuracy: 75.0
898) accuracy: 82.14
899) accuracy: 78.57
900) accuracy: 78.57
901) accuracy: 82.14
902) accuracy: 89.29
903) accuracy: 78.57
904) accuracy: 89.29
905) accuracy: 78.57
906) accuracy: 75.0
907) accuracy: 82.14
908) accuracy: 89.29
909) accuracy: 67.86
910) accuracy: 85.71
911) accuracy: 71.43
912) accuracy: 82.14
913) accuracy: 75.0
914) accuracy: 71.43
915) accuracy: 82.14
916) accuracy: 75.0
917) accuracy: 67.86
918) accuracy: 78.57
919) accuracy: 78.57
920) accuracy: 92.86
921) accuracy: 64.29
922) accuracy: 82.14
923) accuracy: 75.0
924) accuracy: 78.57
925) accuracy: 85.71
926) accuracy: 67.86
927) accuracy: 78.57
928) accuracy: 89.29
929) accuracy: 75.0
930) accuracy: 89.29
931) accuracy: 67.86
932) accuracy: 85.71
933) accuracy: 64.29
934) accuracy: 67.86
935) accuracy: 75.0
936) accuracy: 71.43
937) accuracy: 71.43
938) accuracy: 71.43
939) accuracy: 67.86
940) accuracy: 78.57
941) accuracy: 67.86
942) accuracy: 78.57
943) accuracy: 85.71
